fips,state,county,county population,%_poor_health,%_smokers,%_adult_obesity,%_uninsured,%_vaccinated_for_flu,%_adults_with_diabetes,covid_cases,covid_deaths
48001,Texas,Anderson,58057,20,17,37,20,43,10,3,0
48003,Texas,Andrews,18128,20,13,35,22,24,7,11,0
48005,Texas,Angelina,87092,21,16,41,22,48,14,16,0
48007,Texas,Aransas,23792,21,14,41,22,42,19,2,0
48009,Texas,Archer,8786,14,14,27,19,46,12,,
48011,Texas,Armstrong,1892,12,12,29,18,26,9,,
48013,Texas,Atascosa,50310,24,14,37,19,36,17,9,0
48015,Texas,Austin,29989,17,14,32,20,40,10,10,0
48017,Texas,Bailey,7027,27,16,31,27,41,6,,
48019,Texas,Bandera,22824,17,14,30,19,39,9,2,0
48021,Texas,Bastrop,86976,20,16,38,22,41,12,27,1
48023,Texas,Baylor,3582,17,14,27,19,18,12,,
48025,Texas,Bee,32587,24,16,31,19,29,13,2,0
48027,Texas,Bell,355642,20,15,35,13,39,11,101,3
48029,Texas,Bexar,1986049,22,15,29,17,38,9,734,27
48031,Texas,Blanco,11702,16,13,29,21,44,12,4,0
48033,Texas,Borden,648,13,11,27,16,18,17,,
48035,Texas,Bosque,18691,18,14,32,22,30,11,,
48037,Texas,Bowie,94324,19,17,47,16,43,15,35,5
48039,Texas,Brazoria,370200,18,13,28,14,41,11,225,2
48041,Texas,Brazos,226758,18,14,29,17,53,8,140,11
48043,Texas,Brewster,9267,22,14,26,20,21,12,,
48045,Texas,Briscoe,1516,19,14,26,31,29,10,,
48047,Texas,Brooks,7114,38,18,37,17,39,12,,
48049,Texas,Brown,37924,18,15,39,19,41,13,10,0
48051,Texas,Burleson,18389,18,14,38,20,41,5,6,0
48053,Texas,Burnet,47542,17,13,31,21,45,18,6,0
48055,Texas,Caldwell,43247,23,15,39,22,45,11,6,0
48057,Texas,Calhoun,21561,21,14,31,19,29,14,15,0
48059,Texas,Callahan,13994,17,15,35,19,40,13,1,0
48061,Texas,Cameron,423908,31,13,31,29,42,11,195,3
